Number,Symbol,Name,Mass,Electronegativity,Density,Melt,Boil,Radius,Discovered,Earthcrust,Body,Oxidations,Color
1,H,Hydrogen,1.0008,2.2,0.09,-259,-252,120,1766,0.14,9.5,-1;0;+1,ffffff
5,B,Boron,10.811,2.04,2460,2076,3927,192,1808,0.000,0,0;+1;+2;+3;ffb5b5
6,C,carbon,12.011,2.55,2260,3500,4027,170,-3750,0.094,18.5,-4;-3;-2;-1;0;+1;+2;+3;+4,909090
7,N,Nitrogen,14.007,3.04,1.25,-210,-195,155,1772,0,3.2,-3;-2;-1;0;+1;+2;+3;+4;+5,3050f8
8,O,Oxygen,15.999,3.44,1.43,-218,-182,152,1774,46.71,65,-2;-1;0;+1;+2,ff0d0d
9,F,Fluorine,18.998,3.98,1.7,-219,-188,135,1886,0.029,0,-1;0,90e050
14,Si,Silicon,28.086,1.9,2330,1414,3265,210,1824,27.69,0,-4;-3;-2;-1;0;+1;+2;+3;+4,f0c8a0
15,P,Phosphorus,30.974,2.19,1823,44,277,180,1669,0.13,1,-3;-2;-1;0;+1;+2;+3;+4;+5,ff8000
16,S,Sulfur,32.066,2.58,1960,115,444,180,-2000,0.052,0.3,-2;-1;0;+1;+2;+3;+4;+5;+6,ffff30
17,Cl,Chlorine,35.453,3.16,3.21,-101,-34,175,1774,0.045,0.2,-1;0;+1;+2;+3;+4;+5;+6;+7,1ff01f
32,Ge,Germanium,72.61,2.01,5323,938,2833,211,1886,0,0,-4;-3;-2;-1;0;+1;+2;+3;+4,668f8f
33,As,Arsenic,74.922,2.18,5727,817,614,185,-2500,0,0,-3;0;+1;+2;+3;+5,bd80e3
34,Se,Selenium,78.09,2.55,4819,221,685,190,1817,0,0,-2;0;+1;+2;+4;+6,ffa100
35,Br,Bromine,79.904,2.96,3120,-7,59,185,1826,0,0,-1;0;+1;+2;+3;+4;+5;+7,a62929
